,name,stad,citizen,religious,experience,sweden,poland,iraq,somalia,woman,skilledjob,invited,city1,city2,city3,city4,city5,city6,city7,immigrant,time
19,Awa Zakaria,Stockholm,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0.172278394
20,Ahmed Amari,Stockholm,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.172278394
21,Khalid Zakaria,Stockholm,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.172278394
22,Ahmed Amari,Stockholm,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.172278394
23,Antoni Kowalski,Stockholm,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.172278394
24,Ahmed Amari,Stockholm,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0.172278394
25,Julia Kowalski,Stockholm,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0.172278394
26,Sarah Amari,Stockholm,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.172278394
27,Antoni Kowalski,Stockholm,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0.172278394
28,Awa Zakaria,Stockholm,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.172278394
29,Julia Kowalski,Stockholm,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0.172278394
30,Julia Kowalski,Stockholm,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0.172278394
31,Khalid Zakaria,Stockholm,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.172278394
32,Antoni Kowalski,Stockholm,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.166826654
33,Erik Svensson,Stockholm,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.166826654
34,Antoni Kowalski,Stockholm,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0.153920615
35,Sarah Amari,Stockholm,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.153920615
36,Awa Zakaria,Stockholm,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.153920615
37,Sarah Amari,Stockholm,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.153920615
38,Khalid Zakaria,Stockholm,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.153920615
39,Malin Svensson,Stockholm,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0.154101099
40,Ahmed Amari,Stockholm,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.154283608
41,Sarah Amari,Stockholm,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0.144369229
42,Julia Kowalski,Stockholm,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0.140798564
43,Erik Svensson,Stockholm,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.162329692
44,Awa Zakaria,Stockholm,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.158352144
45,Ahmed Amari,Stockholm,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.154662925
46,Julia Kowalski,Stockholm,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0.151231781
47,Awa Zakaria,Stockholm,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.148032548
48,Malin Svensson,Stockholm,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.141633742
49,Sarah Amari,Stockholm,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0.139996829
50,Sarah Amari,Stockholm,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0.138490214
51,Antoni Kowalski,Stockholm,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0.137098934
52,Awa Zakaria,Stockholm,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0.146638201
53,Khalid Zakaria,Stockholm,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.145056156
54,Ahmed Amari,Stockholm,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.143582746
55,Khalid Zakaria,Stockholm,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.142207153
56,Antoni Kowalski,Stockholm,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.150356408
57,Sarah Amari,Stockholm,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.148855605
58,Ahmed Amari,Stockholm,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.147445415
59,Awa Zakaria,Stockholm,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.14611787
60,Ahmed Amari,Stockholm,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.144865914
61,Khalid Zakaria,Stockholm,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0.143683269
62,Malin Svensson,Stockholm,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0.142564333
63,Khalid Zakaria,Stockholm,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.169770038
64,Sarah Amari,Stockholm,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.165795845
65,Antoni Kowalski,Stockholm,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.175398469
66,Julia Kowalski,Stockholm,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0.171120458
67,Julia Kowalski,Stockholm,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0.168170074
68,Awa Zakaria,Stockholm,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0.174172598
69,Khalid Zakaria,Stockholm,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.171366231
70,Malin Svensson,Stockholm,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.168829967
71,Antoni Kowalski,Stockholm,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0.173975396
72,Erik Svensson,Stockholm,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.171120458
73,Erik Svensson,Stockholm,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.171120458
74,Julia Kowalski,Stockholm,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0.171120458
75,Awa Zakaria,Stockholm,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0.171120458
76,Ahmed Amari,Stockholm,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.171120458
77,Khalid Zakaria,Stockholm,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.171120458
78,Ahmed Amari,Stockholm,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0.171120458
79,Antoni Kowalski,Stockholm,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.171120458
80,Ahmed Amari,Stockholm,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.17618051
81,Julia Kowalski,Stockholm,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0.17749021
82,Sarah Amari,Stockholm,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.385491141
83,Antoni Kowalski,Stockholm,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0.385491141
84,Awa Zakaria,Stockholm,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.385491141
85,Julia Kowalski,Stockholm,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0.385491141
86,Julia Kowalski,Stockholm,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0.385491141
87,Khalid Zakaria,Stockholm,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0.385491141
88,Antoni Kowalski,Stockholm,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0.385491141
89,Erik Svensson,Stockholm,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.385491141
90,Antoni Kowalski,Stockholm,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0.02637571
91,Sarah Amari,Stockholm,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0.025699409
92,Awa Zakaria,Stockholm,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.025056924
93,Sarah Amari,Stockholm,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.02444578
94,Khalid Zakaria,Stockholm,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.023863737
95,Malin Svensson,Stockholm,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.067210394
96,Ahmed Amari,Stockholm,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.071400184
97,Sarah Amari,Stockholm,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.074775682
98,Julia Kowalski,Stockholm,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0.102095601
99,Erik Svensson,Stockholm,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.102424353
100,Awa Zakaria,Stockholm,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.123552802
101,Ahmed Amari,Stockholm,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.122334057
102,Julia Kowalski,Stockholm,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0.121274723
103,Awa Zakaria,Stockholm,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.120345443
104,Malin Svensson,Stockholm,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.119523652
105,Sarah Amari,Stockholm,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.133941476
106,Sarah Amari,Stockholm,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.132500087
107,Antoni Kowalski,Stockholm,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.131200772
108,Awa Zakaria,Stockholm,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0.130023512
109,Khalid Zakaria,Stockholm,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.12895188
110,Ahmed Amari,Stockholm,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0.127972271
111,Khalid Zakaria,Stockholm,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.138480951
112,Antoni Kowalski,Stockholm,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.148158597
113,Sarah Amari,Stockholm,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0.263757096
114,Ahmed Amari,Stockholm,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0.263757096
115,Awa Zakaria,Stockholm,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.263757096
116,Ahmed Amari,Stockholm,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0.263757096
117,Khalid Zakaria,Stockholm,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.263757096
118,Malin Svensson,Stockholm,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0.263757096
119,Khalid Zakaria,Stockholm,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.263757096
120,Sarah Amari,Stockholm,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.263757096
121,Antoni Kowalski,Stockholm,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.263757096
122,Julia Kowalski,Stockholm,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0.263757096
123,Julia Kowalski,Stockholm,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0.263757096
124,Awa Zakaria,Stockholm,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.263757096
125,Khalid Zakaria,Stockholm,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.263757096
126,Malin Svensson,Stockholm,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.263757096
127,Antoni Kowalski,Stockholm,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0.263757096
128,Erik Svensson,Stockholm,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.263757096
129,Erik Svensson,Stockholm,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.263757096
130,Julia Kowalski,Stockholm,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0.263757096
131,Awa Zakaria,Stockholm,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0.263757096
132,Ahmed Amari,Stockholm,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.263757096
133,Khalid Zakaria,Stockholm,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.263757096
134,Ahmed Amari,Stockholm,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.143182423
135,Antoni Kowalski,Stockholm,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.143182423
136,Ahmed Amari,Stockholm,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.143182423
137,Julia Kowalski,Stockholm,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0.143182423
138,Sarah Amari,Stockholm,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.143182423
139,Antoni Kowalski,Stockholm,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.143182423
140,Awa Zakaria,Stockholm,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.102574214
141,Julia Kowalski,Stockholm,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0.103092531
142,Julia Kowalski,Stockholm,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0.103641353
143,Khalid Zakaria,Stockholm,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0.104223455
144,Antoni Kowalski,Stockholm,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.103234874
145,Erik Svensson,Stockholm,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.103841434
146,Antoni Kowalski,Stockholm,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.104488456
147,Sarah Amari,Stockholm,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.105180127
148,Awa Zakaria,Stockholm,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.105921237
149,Sarah Amari,Stockholm,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.10671728
150,Khalid Zakaria,Stockholm,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.105596389
151,Malin Svensson,Stockholm,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.10438576
152,Ahmed Amari,Stockholm,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.103074169
153,Sarah Amari,Stockholm,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0.103884881
154,Julia Kowalski,Stockholm,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0.104769356
155,Erik Svensson,Stockholm,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.105738139
156,Awa Zakaria,Stockholm,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.10680389
157,Ahmed Amari,Stockholm,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.119851213
158,Julia Kowalski,Stockholm,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0.10820722
159,Awa Zakaria,Stockholm,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.110148106
160,Malin Svensson,Stockholm,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.096756075
161,Sarah Amari,Stockholm,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0.098273458
162,Sarah Amari,Stockholm,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0.100353946
163,Antoni Kowalski,Stockholm,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.100608971
164,Awa Zakaria,Stockholm,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0.100871587
165,Khalid Zakaria,Stockholm,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.097524362
166,Ahmed Amari,Stockholm,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0.097747719
167,Khalid Zakaria,Stockholm,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.097978036
168,Antoni Kowalski,Stockholm,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.098215642
169,Sarah Amari,Stockholm,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.098460888
170,Ahmed Amari,Stockholm,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0.09871415
171,Awa Zakaria,Stockholm,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.098975827
172,Ahmed Amari,Stockholm,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.099246345
173,Khalid Zakaria,Stockholm,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.09952616
174,Malin Svensson,Stockholm,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0.09981576
175,Khalid Zakaria,Stockholm,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.100115667
176,Sarah Amari,Stockholm,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.100426442
177,Antoni Kowalski,Stockholm,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.100748685
178,Julia Kowalski,Stockholm,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0.101083044
179,Julia Kowalski,Stockholm,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0.125506776
180,Awa Zakaria,Stockholm,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0.123632159
181,Khalid Zakaria,Stockholm,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.135741298
182,Malin Svensson,Stockholm,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.133573611
183,Antoni Kowalski,Stockholm,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.131593369
184,Erik Svensson,Stockholm,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.131549824
185,Erik Svensson,Stockholm,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.131506637
186,Julia Kowalski,Stockholm,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0.131463805
187,Awa Zakaria,Stockholm,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.131421322
188,Ahmed Amari,Stockholm,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.131379185
189,Khalid Zakaria,Stockholm,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.131337389
190,Ahmed Amari,Stockholm,1,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0.13129593
191,Antoni Kowalski,Stockholm,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.131254804
192,Ahmed Amari,Stockholm,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.131214007
193,Julia Kowalski,Stockholm,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0.131414994
194,Sarah Amari,Stockholm,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.131373885
195,Antoni Kowalski,Stockholm,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0.131333102
196,Awa Zakaria,Stockholm,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.132879402
197,Julia Kowalski,Stockholm,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0.140678932
198,Julia Kowalski,Stockholm,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0.141095977
199,Khalid Zakaria,Stockholm,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.138678826
200,Antoni Kowalski,Stockholm,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.139061626
201,Erik Svensson,Stockholm,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.139467591
202,Antoni Kowalski,Stockholm,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0.139898891
203,Sarah Amari,Stockholm,0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0.140357973
204,Awa Zakaria,Stockholm,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.14084761
205,Sarah Amari,Stockholm,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.126997314
206,Khalid Zakaria,Stockholm,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.123755808
207,Malin Svensson,Stockholm,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.120711167
208,Ahmed Amari,Stockholm,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.117845987
209,Sarah Amari,Stockholm,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0.115144854
210,Julia Kowalski,Stockholm,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0.112594073
211,Erik Svensson,Stockholm,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.110181428
212,Awa Zakaria,Stockholm,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.107895996
213,Ahmed Amari,Stockholm,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.105727973
214,Julia Kowalski,Stockholm,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0.103668538
215,Awa Zakaria,Stockholm,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.101709733
216,Malin Svensson,Stockholm,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.118912114
217,Sarah Amari,Stockholm,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.116689491
218,Sarah Amari,Stockholm,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.112967522
219,Antoni Kowalski,Stockholm,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.127729615
220,Awa Zakaria,Stockholm,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0.125456867
221,Khalid Zakaria,Stockholm,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.123284203
222,Ahmed Amari,Stockholm,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0.121205153
223,Khalid Zakaria,Stockholm,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.119213796
224,Antoni Kowalski,Stockholm,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0.117304696
225,Sarah Amari,Stockholm,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.151027059
226,Ahmed Amari,Stockholm,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0.142779779
227,Awa Zakaria,Stockholm,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.136254993
228,Ahmed Amari,Stockholm,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.130964094
229,Khalid Zakaria,Stockholm,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0.126587311
230,Malin Svensson,Stockholm,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.123929667
231,Khalid Zakaria,Stockholm,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0.122249307
232,Sarah Amari,Stockholm,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0.121090891
233,Antoni Kowalski,Stockholm,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.130952473
234,Julia Kowalski,Stockholm,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0.129037278
